certificate_id,cut_no,ai_cleaned_description,ai_reference,ai_action,ai_content_types,ai_media_element
100010842200010453,4,Inserted an anti-smoking advertisement featuring Sunita during the interval.,Sunita,insertion,substance,metadata
100010842200010453,3,Added a clarification that the song is fictional and not related to any antisocial or antinational group.,OF FREEDOM - LALPHOOL,insertion,,metadata
100010842200010453,2,Muted a word at one point in the film,Aajkal,audio_modification,,text_dialogue
100010842200010453,1,Muted a profane word at multiple points in the film.,chutiya,audio_modification,profanity,text_dialogue
100010101900008029,1,Muted words at multiple points.,ho|Nikalkar de sakta hun,audio_modification,profanity,text_dialogue
100010842400002600,5,Removed blank frames after the intermission.,null,deletion,,visual_scene
100010842400002600,4,Muted obscene words.,obscene words,audio_modification,profanity,text_dialogue
100010842400002600,3,"Added a static message in Hindi to discourage liquor, tobacco, and drug use.",liquor|tobacco|drugs,insertion,substance,metadata
100010842400002600,2,Inserted credits in Hindi.,Hindi,insertion,,metadata
100010842400002600,1,Inserted a disclaimer in Hindi regarding drug use.,drug-use,insertion,substance,metadata
100050842400000466,3,The entire film was time-coded.,film,insertion,,metadata
100050842400000466,2,Muted and replaced profane and sexual terms.,fuck|shagging|69|Fati Padi Hai,audio_modification,profanity|sexual_suggestive,text_dialogue
100050842400000466,1,Removed all alcohol brands from visuals and dialogue.,alcohol brands,deletion,substance,visual_scene
100010842400007773,5,The dialogue was submitted as per the script.,script,text_modification,,text_dialogue
100010842400007773,4,Removed the visual of holding Shikha at multiple points.,Shikha,visual_modification,violence,visual_scene
100010842400007773,3,Removed derogatory term used for women.,derogatory term,text_modification,profanity|identity_reference,text_dialogue
100010842400007773,2,Deleted the cuss words.,cuss words,text_modification,profanity,text_dialogue
100010842400007773,1,Extended the content warning duration to improve readability.,smoking,insertion,substance,metadata
100010151800000778,1,Inserted a 10-second space for the CBFC certificate.,CBFC certificate,insertion,,metadata
100020842300000427,2,Removed the visual of a boy drinking phenyl.,phenyl,deletion,violence,visual_scene
100020842300000427,1,Replaced a violent scene.,violence,replacement,violence,visual_scene
100010151900001704,1,Added a CBFC certificate at the beginning of the film.,CBFC certificate,insertion,,metadata
100010842200007919,1,Inserted cast and credits.,cast and credits,insertion,,metadata
100010151900001874,19,Added a CBF Certificate at the beginning of the film.,CBF Certificate,insertion,,metadata
100010151900001874,18,Added anti-smoking disclaimers and a scrolling message about the dangers of smoking throughout the film.,smoking,insertion,substance,metadata
100010151900001874,17,"Removed visuals of a man hitting zombies with an axe, including blood and zombies being crushed.",violence,deletion,violence,visual_scene
100010151900001874,16,Removed a scene of violence.,bloodshed,deletion,violence,visual_scene
100010151900001874,15,"Removed a visual of a man crushing a zombie's head, including the spilling of blood.",violence,deletion,violence,visual_scene
100010151900001874,14,Removed visuals depicting bullet firing and bloodshed.,bullet firing|bloodshed,deletion,violence,visual_scene
100010151900001874,13,Removed the visual of a man showing his middle finger.,middle finger,deletion,profanity,visual_scene
100010151900001874,12,Removed the visual of a kissing scene and lovemaking scene.,,deletion,sexual_suggestive,visual_scene
100010151900001874,11,Removed a violent scene depicting a man being crushed and decapitated.,violence,deletion,violence,visual_scene
100010151900001874,10,Removed the visual of a headshot and bloodshed.,bloodshed,deletion,violence,visual_scene
100010151900001874,9,Removed visuals of bullet firing and bloodshed in the end title sequence.,bloodshed,deletion,violence,visual_scene
100010151900001874,8,Removed the visual of a zombie eating a neck.,violence,deletion,violence,visual_scene
100010151900001874,7,"Removed the visual of a zombie's head being smashed on a glass door, including the scene of zombies eating a man's neck and the resulting bloodshed.",violence,deletion,violence,visual_scene
100010151900001874,6,Removed the visual of a zombie's tongue stuck on an iced statue.,violence,deletion,violence,visual_scene
100010151900001874,5,Blurred a visual of a statue's penis.,penis,visual_modification,sexual_suggestive,visual_scene
100010151900001874,4,Blurred and muted profanity and suggestive content at various points.,fuck|bitch,visual_modification,profanity,visual_scene
100010151900001874,3,Muted multiple profane words at various points in the film.,butt|pussy|screw|motherfucker|ass|cocksucking|vagina|bitch|dick,audio_modification,profanity,text_dialogue
100010151900001874,2,Muted multiple instances of profanity.,fuck|suck|sex,audio_modification,profanity|sexual_suggestive,text_dialogue
100010151900001874,1,Muted instances of profanity throughout the film.,motherfucking|fuck,audio_modification,profanity,text_dialogue
100010842400007410,1,Removed a scene depicting the chopping of a body part.,body part,deletion,violence,visual_scene
100010102100002664,1,Removed Telugu cast and credits from the film.,Telugu cast and credits,deletion,,metadata
100030101900001869,17,Blurred the visuals of blood in the fight scene.,blood,visual_modification,violence,visual_scene
100030101900001869,16,Removed the visual of MSD holding the breast.,breast,deletion,sexual_suggestive,visual_scene
100030101900001869,15,Removed dialogue containing vulgarity.,rape|vulgarity,text_modification,profanity,text_dialogue
100030101900001869,14,Removed a visual and muted dialogue.,MSD|Ding Dong,deletion,sexual_suggestive|profanity,visual_scene
100030101900001869,13,Replaced visuals of MSD holding a private part.,private part,replacement,sexual_explicit,visual_scene
100030101900001869,12,Replaced the visuals of a scene.,Philips,replacement,profanity,visual_scene
100030101900001869,11,Muted a word at one point in the film.,Soombie,audio_modification,profanity,text_dialogue
100030101900001869,10,Removed visuals of a zombie with big eyes.,zombie,deletion,violence,visual_scene
100030101900001869,9,Removed visuals of a zombie in a kitchen scene.,zombie,deletion,violence,visual_scene
100030101900001869,8,Blurred the visual of a zombie eating an intestine near the staircase.,intestine,visual_modification,violence,visual_scene
100030101900001869,7,Muted multiple phrases and words due to public decency concerns.,Pool boil|Ommaala|OththaBaadu|Evvalavu aditchum thaangura mani,audio_modification,profanity,text_dialogue
100030101900001869,6,Removed visuals of a private part.,Deenadayalan,visual_modification,sexual_explicit,visual_scene
